MPG City,MPG Highway,Horsepower,Weight (000 lbs),Torque Foot Pounds,Displacement CI,Fuel Capacity,Seating (Standard),Cylinders,Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Wheelbase,Width,Track (Front),Track (Rear),Base Price MSRP,Weight,Curb Weight AT,Model,Model Year
27,33,160,2.694,141,122,13.2,4,4,5,M,55.1,172.2,101.2,67.9,58.5,58.5,19975,2694,,2003 Acura RSX 5-speed MT Current,2003
20,29,225,3.47,216,196,17.2,4,6,5,A,55.5,192,106.9,70.6,61.1,61,28200,3470,3470,2003 Acura 3.2 CL 5-spd AT Current,2003
18,24,225,3.898,231,212,18,5,6,4,A,54.5,196.6,114.6,71.6,61,60.6,43150,3898,3898,2003 Acura 3.5 RL Sedan Current,2003
17,24,290,3.153,224,194,18.5,2,6,6,M,46.1,174.2,99.6,71.3,59.5,60.7,89000,3153,,2003 Acura NSX 3.2 6-Speed MT Current,2003
17,23,260,4.42,250,212,19.2,7,6,5,A,68.7,188.5,106.3,77,66.3,66.5,35700,4420,4420,2003 Acura MDX Sport Utility Current,2003
21,29,200,3.23,166,144,17.1,5,4,6,M,57.3,183.3,105.1,69.4,59.6,59.6,26490,3230,,2004 Acura TSX 6-speed MT Current,2004
11,18,420,3.925,400,362,23.5,4,12,6,M,48.7,183.7,102,72,59.7,,141800,3925,,2003 Aston Martin DB7 Vantage Coupe Current,2003
15,21,340,4.024,310,255,21.7,5,8,5,A,57,193.4,108.6,76.1,62.1,62.6,58700,4024,4024,2003 Audi S6 Avant Current,2003
17,25,310,4.068,302,255,23.7,5,8,5,A,56.6,198.2,113.4,79,62.6,62.2,62200,4068,4068,2003 Audi A8 4.2 Current,2003
16,21,360,4.068,317,255,23.8,5,8,5,A,55.8,198.2,113.4,79,62.6,62.2,72500,4068,4068,2003 Audi S8 4.2 Current,2003
22,31,170,3.252,166,109,18.5,5,4,5,M,56.2,179,104.3,69.5,60.2,60.1,25250,3252,,2004 Audi A4 1.8 T Current,2004
