Vikki Abusidualghoul,/about/person/vikki-abusidualghoul,Associate Professor of Operations Management
Iman Ahmadi,/about/person/iman-ahmadi,Assistant Professor of Marketing
Ayfer Ali,/about/person/ayfer-ali,Assistant Professor
David Allen,/about/person/david-allen,WBS Distinguished Research Environment Professor
Steve Alpern,/about/person/steve-alpern,Professor of Operational Research 
Fiona Anderson-Gough,/about/person/fiona-anderson-gough,Associate Professor (Reader) of Accounting 
Constantinos Antoniou,/about/person/constantinos-antoniou,Associate Professor of Finance & Behavioural Science
David Arnott,/about/person/david-arnott,Associate Professor of Marketing
Nursen Aydin,/about/person/nursen-aydin,Associate Professor of Operational Research
Giorgia Barboni,/about/person/giorgia-barboni,Assistant Professor of Finance
Simon Barnes,/about/person/simon-barnes,Professor of Practice
Söhnke M Bartram,/about/person/sm-bartram,Professor of Finance
Giuliana Battisti,/about/person/giuliana-battisti,Professor of the Economics of Innovation
Chris Beer,/about/person/christopher-beer,Professor of Practice
Haley Beer,/about/person/haley-beer,Associate Professor of Operations Management
Jose Bento da Silva,/about/person/jose-bento-da-silva,Assistant Professor
Ila Bharatan,/about/person/ila-bharatan,Research Fellow
Mathieu Blondeel,/about/person/mathieu-blondeel,Research Fellow
Umar Boodoo,/about/person/umar-boodoo,Assistant Professor
Michael Bradshaw,/about/person/michael-bradshaw,Professor of Global Energy
Juergen Branke,/about/person/juergen-branke,Professor of Operational Research & Systems
Nicola Burgess,/about/person/nicola-burgess,Reader of Operations Management
Mehmet Chakkol,/about/person/mehmet-chakkol,Associate Professor of Operations Management
Laura Chamberlain,/about/person/laura-chamberlain,Professor of Marketing
Nick Chater,/about/person/nick-chater,Professor of Behavioural Science
Bo Chen,/about/person/bo-chen,Professor of Operational Research and Management Science
Malcolm Clews ,/about/person/malcolm-clews,Associate Professor
John Colley,/about/person/john-colley,Professor of Practice
Charlotte Croft,/about/person/charlotte-croft,Associate Professor
Bernard Crump,/about/person/bernard-crump,Professor of Practice in Healthcare and Leadership
Graeme Currie,/about/person/graeme-currie,Professor of  Public Management 
Scott Dacko,/about/person/scott-dacko,Associate Professor of Marketing
Frederik Dahlmann,/about/person/frederik-dahlmann,Associate Professor of Strategy and Sustainability
Deborah Dean,/about/person/deborah-dean,Associate Professor of IR
Vladimir Deineko,/about/person/vladimir-deineko,Associate Professor (Reader) of Operational Research
Jerker Denrell,/about/person/jerker-denrell,Professor of Behavioural Science
Rachel Dickinson,/about/person/rachel-dickinson,Associate Professor 
Yi Ding,/about/person/yding-,Assistant Professor of Information Systems
Katharina Dittrich,/about/person/katharina-dittrich,Associate Professor
Vinh Doan,/about/person/xuan-doan,Reader
Nigel Driffield,/about/person/nigel-driffield,Professor 
Robert Dyson,/about/person/robert-dyson,Emeritus Professor
David Elmes,/about/person/david-elmes,Professor of Practice
Irem Erten,/about/person/irem-erten,Assistant Professor of Finance
Dawn Eubanks,/about/person/dawn-eubanks,Associate Professor of Behavioural Science & EI
Jana Fidrmuc,/about/person/jana-fidrmuc,Associate Professor of Finance
Isabel Fischer,/about/person/isabel-fischer,Reader
Marianna Fotaki,/about/person/marianna-fotaki,Professor of Business Ethics
Stuart Fraser,/about/person/stuart-fraser,Associate Professor of Enterprise
Tamara Friedrich,/about/person/tamara-friedrich,Associate Professor of Entrepreneurship and Innovation
Manuela Galetto,/about/person/manuela-galetto,Associate Professor
Ana Galvao,/about/person/ana-galvao,Professor of Economic Modelling and Forecasting
Andrea Gamba,/about/person/andrea-gamba,Professor of Finance
Anthony Garratt,/about/person/anthony-garratt,Professor of Economic Modelling and Forecasting
Jesus Gorrin Leon,/about/person/jesus-gorrin,Assistant Professor of Finance
Ketan Goswami,/about/person/ketan-goswami,Assistant Professor
Arie Gozluklu,/about/person/arie-gozluklu,Associate Professor of Finance
Louise Gracia,/about/person/louise-gracia,Professor of Accounting
Aikaterini Grimani,/about/person/aikaterini-grimani,Research Fellow
Neha Gupta,/about/person/neha-gupta,Teaching Fellow
Demetris Hadjimichael,/about/person/demetris-hadjimichael,Assistant Professor
James Hayton,/about/person/james-hayton,Professor 
Koen Heimeriks,/about/person/koen-heimeriks,Professor of Strategy  
Ola Henfridsson,/about/person/ola-henfridsson,WBS Distinguished Research Environment Professor
Loizos Heracleous,/about/person/loizos-heracleous,Professor of Strategy 
Katy Hoad,/about/person/kathryn-hoad,Associate Professor of Operational Research
Kim Hoque,/about/person/kim-hoque,Professor of  HRM
Jo Horton,/about/person/joanne-horton,Professor of Accounting 
Yansong Hu,/about/person/yansong-hu,Associate Professor of Marketing
Xing Huan,/about/person/xing-huan,Assistant Professor of Accounting
Jochem Hummel,/about/person/jochem-hummel,Assistant Professor
Piers Ibbotson,/about/person/piers-ibbotson,Associate Professor
Shahed Imam,/about/person/shahed-imam,Associate Professor of Accounting 
Andrea Isoni,/about/person/andrea-isoni,Professor of Behavioural Science
Miaolei Jia,/about/person/miaolei-jia,Assistant Professor of Marketing
Mark Johnson,/about/person/mark-johnson,Professor of Operations Management
Roland Kassemeier,/about/person/roland-kassemeier,Assistant Professor of Marketing
Derin Kent,/about/person/derin-kent,Assistant Professor
Gary Kerridge,/about/person/gary-kerridge,Research Fellow
Sadia Khan,/about/person/sadia-khan,Teaching Fellow in Accounting
Tina Kiefer,/about/person/tina-kiefer,Professor of Organisational Behaviour
Gi H. Kim,/about/person/gi-kim,Associate Professor of Finance
Olga Klein,/about/person/olga-lebedeva,Assistant Professor of Finance
Christos Kolympiris,/about/person/christos-kolympiris,Associate Professor
Elizaveta Konovalova,/about/person/elizaveta-konovalova,Assistant Professor of Behavioural Science
Maja Korica,/about/person/maja-korica,Reader
Roman Kozhan,/about/person/roman-kozhan,Professor of Finance
Achim Krausert,/about/person/achim-krausert,Associate Professor
Alok Kumar,/about/person/alok-kumar,WBS Distinguished Research Environment Professor
Amit Kumar,/about/person/amitkumar-,Assistant Professor 
Nick Lee,/about/person/nick-lee,Professor of Marketing 
Rosemary Li,/about/person/rosemary-li,Assistant Professor
Stefano Li Pira,/about/person/stefano-li-pira,Assistant Professor
Danmo Lin,/about/person/danmo-lin,Assistant Professor of Finance
Lisa Liu,/about/person/lisa-liu,Senior Teaching Fellow in Accounting
Nick Llewellyn,/about/person/nick-llewellyn,Professor
Andy Lockett,/about/person/andy-lockett,Dean of Warwick Business School and Professor of Strategy and Entrepreneurship
Graham Loomes,/about/person/graham-loomes,Professor of Behavioural Science
Juan Lopez-Cotarelo,/about/person/juan-lopez-cotarelo,Associate Professor
Angela Lorenz,/about/person/angela-lorenz,Reader of Accounting
S John Lyon,/about/person/john-lyon,Professor of Practice
Kebin Ma,/about/person/kebin-ma,Associate Professor of Finance
Emma Macdonald,/about/person/emma-macdonald,Professor of Marketing
Camilla Maclean,/about/person/camilla-maclean,Associate Professor
Jenny Maynard,/about/person/jenny-maynard,Senior Teaching Fellow in Accounting
Gerry McGivern,/about/person/gerry-mcgivern,Professor of Organisational Analysis 
Facundo Mercado,/about/person/facundo-mercado,Assistant Professor of Accounting
Pedro Mesquita,/about/person/pedro-mesquita,Teaching Fellow
Pietro Micheli,/about/person/pietro-micheli,Professor of Business performance and innovation
Yuval Millo,/about/person/yuval-millo,Professor of Accounting
Suzy Moat,/about/person/suzy-moat,Professor of Behavioural Science
Mo Moeini,/about/person/mo-moeini,Associate Professor
Kevin Mole,/about/person/kevin-mole,Associate Professor (Reader) of Enterprise
Michael Moore,/about/person/michael-moore,Emeritus Professor
Philippe Mueller,/about/person/philippe-mueller,Professor of Finance
Redzo Mujcic,/about/person/redzo-mujcic,Assistant Professor of Behavioural Science
Rory Mullen,/about/person/rory-mullen,Assistant Professor of Finance
Tim Mullett,/about/person/tim-mullett,Associate Professor of Behavioural Science
Joe Nandhakumar,/about/person/joe-nandhakumar,Professor of Information Systems
Ellertone Ndalama,/about/person/ellertone-ndalama,Teaching Fellow in Accounting
Jonothan Neelands,/about/person/jonothan-neelands,Professor of Creative Education
Sue Newell,/about/person/sue-newell,"Professor of Information, Systems and Management"
Nicos Nicolaou,/about/person/nicos-nicolaou,Professor  - GE Capital Chair for Mid-Market Economics
Davide Nicolini,/about/person/davide-nicolini,Professor & Director of IKON
Hassan Nizami,/about/person/hassan-nizami,Senior Teaching Fellow in Accounting
Frances O'Brien,/about/person/frances-o-brien,Associate Professor of Operational Research
Eivor Oborn,/about/person/eivor-oborn,Professor 
Artemis Panigyraki,/about/person/artemis-panigyraki,Teaching Fellow
Sotirios Paroutis,/about/person/sotirios-paroutis,Professor of Strategic Management
Selina Pei,/about/person/selina-pei,Assistant Professor of Accounting
Sandra Pereira,/about/person/sandra-pereira,Associate Professor
Ivan Petrella,/about/person/ivan-petrella,Professor of Economic Policy and Forecasting
Rob Poole,/about/person/rob-poole,Senior Teaching Fellow in Accounting
Nattavudh  Powdthavee,/about/person/nattavudh-powdthavee,Professor of Behavioural Science
Tobias Preis,/about/person/tobias-preis,Professor of Behavioural Science & Finance
Giovanni Radaelli,/about/person/giovanni-radaelli,Associate Professor of Operations Management
Daniel Read,/about/person/daniel-read,Professor of Behavioural Science
Ross Ritchie ,/about/person/ross-ritchie,Professor of Operations Management
Ashley Roberts,/about/person/ashley-roberts,Associate Professor
Cesare Robotti,/about/person/cesare-robotti,Professor of Finance 
Stephen Roper,/about/person/stephen-roper,"Professor of Enterprise,  Director of ERC"
John Rudd,/about/person/john-rudd,Professor of Marketing
Zvi Safra,/about/person/zvi-safra,Professor of Behavioural Science
Graham Sara,/about/person/graham-sara,Senior Teaching Fellow in Accounting
Innan Sasaki,/about/person/innan-sasaki,Associate Professor
Andrew Sentance,/about/person/andrew-sentance,Professor of Practice
Seyoung Seol,/about/person/seyoung-seol,Assistant Professor
Rhian Silvestro,/about/person/rhian-silvestro,Associate Professor of Operations Management
Harminder Singh,/about/person/harminder-singh,Senior Teaching Fellow
Shweta Singh,/about/person/shweta-singh,Assistant Professor 
Mira Slavova,/about/person/mira-slavova,Assistant Professor
Nicholas Solman,/about/person/nicholas-solman,Research Assistant
Dimitrios Spyridonidis,/about/person/dimitrios-spyridonidis,Associate Professor 
Christian Stadler,/about/person/christian-stadler,Professor of Strategic Management
Neil Stewart,/about/person/neil-stewart,Professor of Behavioural Science
Alex Stremme,/about/person/alex-stremme,Professor of Finance
Nathan Subramanian,/about/person/nathan-subramanian,Associate Professor
Irina Surdu-Nardella,/about/person/irina-surdu,Associate Professor of International Business & Strategy  
Jacky Swan,/about/person/jacky-swan,Professor of Organisational Behaviour 
Noni Symeonidou,/about/person/noni-symeonidou,Associate Professor
Umar Taj,/about/person/umar-taj,Associate Professor
John Thanassoulis,/about/person/john-thanassoulis,Professor of Financial Economics
Bob Thomson,/about/person/bob-thomson,Professor 
Charidimos Tsoukas,/about/person/hari-tsoukas,WBS Distinguished Research Environment Professor
Deniz Ucbasaran,/about/person/deniz-ucbasaran,Professor of Entrepreneurship
Juha Uotila,/about/person/juha-uotila,Associate Professor of Strategic Management
Shaun Vahey,/about/person/shaun-vahey,Professor of Economic Modelling and Forecasting
Ganesh Viswanath Natraj,/about/person/ganesh-viswanath-natraj,Assistant Professor of Finance
Ivo Vlaev,/about/person/ivo-vlaev,Professor of Behavioural Science
Hendrik Vollmer,/about/person/hendrik-vollmer,Associate Professor of Accounting
Chris Voss,/about/person/christopher-voss,Professor of OM
Qing Wang,/about/person/qing-wang,Professor of Marketing and Innovation 
Sarah Wang,/about/person/qian-wang,Associate Professor of Finance
Lisa Weaver,/about/person/lisa-weaver,Professor of Accounting
Sarah Wei,/about/person/sarah-wei,Assistant Professor of Marketing
Elizabeth Whalley,/about/person/elizabeth-whalley,Associate Professor of Finance
Rene Wiedner,/about/person/rene-wiedner,Associate Professor of Organization Theory
Hugh Wilson,/about/person/hugh-wilson,Professor of Marketing
Maria Wishart,/about/person/maria-wishart,Research Fellow
Sarah Woolley,/about/person/sarah-woolley,Senior Research Fellow
Tim Wray,/about/person/timothy-wray,Professor of Practice  - Director of Executive Education
Yang Yang,/about/person/yang-yang,Assistant Professor
Youngjin Yoo,/about/person/youngjin-yoo,WBS Distinguished Research Environment Professor
Hossam Zeitoun,/about/person/hossam-zeitoun,Associate Professor 
Wenjuan Zhang,/about/person/wenjuan-zhang,Associate Professor of Operational Research
Zhewei Zhang,/about/person/zhewei-zhang,Assistant Professor
Zhifang Zhang,/about/person/zhifang-zhang,Associate Professor of Accounting
Melody Zou,/about/person/melody-zou,Assistant Professor
