Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,YrSold,SaleType,SaleCondition,SalePrice
101,60,RL,65,8450,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,856,854,1710,1,3,1,8,2008,WD,Normal,208500
102,20,RL,80,9600,Pave,NA,Reg,Lvl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,1262,0,1262,0,3,1,6,2007,WD,Normal,181500
103,60,RL,68,11250,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,920,866,1786,1,3,1,6,2008,WD,Normal,223500
104,70,RL,60,9550,Pave,NA,IR1,Lvl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,961,756,1717,1,3,1,7,2006,WD,Abnorml,140000
105,60,RL,84,14260,Pave,NA,IR1,Lvl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,1145,1053,2198,1,4,1,9,2008,WD,Normal,250000
106,50,RL,85,14115,Pave,NA,IR1,Lvl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,796,566,1362,1,1,1,5,2009,WD,Normal,143000
107,20,RL,75,10084,Pave,NA,Reg,Lvl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,1694,0,1694,1,3,1,7,2007,WD,Normal,307000
108,60,RL,NA,10382,Pave,NA,IR1,Lvl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,1107,983,2090,1,3,1,7,2009,WD,Normal,200000
109,50,RM,51,6120,Pave,NA,Reg,Lvl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,1022,752,1774,0,2,2,8,2008,WD,Abnorml,129900
110,190,RL,50,7420,Pave,NA,Reg,Lvl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,1077,0,1077,1,2,2,5,2008,WD,Normal,118000
111,20,RL,70,11200,Pave,NA,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,1040,0,1040,1,3,1,5,2008,WD,Normal,129500
112,60,RL,85,11924,Pave,NA,IR1,Lvl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,1182,1142,2324,1,4,1,11,2006,New,Partial,345000
113,20,RL,NA,12968,Pave,NA,IR2,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,912,0,912,1,2,1,4,2008,WD,Normal,144000
114,20,RL,91,10652,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,1494,0,1494,0,3,1,7,2007,New,Partial,279500
115,20,RL,NA,10920,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,1253,0,1253,1,2,1,5,2008,WD,Normal,157000
116,45,RM,51,6120,Pave,NA,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,854,0,854,0,2,1,5,2007,WD,Normal,132000
117,20,RL,NA,11241,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,1004,0,1004,1,2,1,5,2010,WD,Normal,149000
118,90,RL,72,10791,Pave,NA,Reg,Lvl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,1296,0,1296,0,2,2,6,2006,WD,Normal,90000
119,20,RL,66,13695,Pave,NA,Reg,Lvl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,1114,0,1114,1,3,1,6,2008,WD,Normal,159000
120,20,RL,70,7560,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,1339,0,1339,0,3,1,6,2009,COD,Abnorml,139000
121,60,RL,101,14215,Pave,NA,IR1,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,1158,1218,2376,0,4,1,9,2006,New,Partial,325300
122,45,RM,57,7449,Pave,Grvl,Reg,Bnk,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,1108,0,1108,0,3,1,6,2007,WD,Normal,139400
123,20,RL,75,9742,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,1795,0,1795,0,3,1,7,2008,WD,Normal,230000
124,120,RM,44,4224,Pave,NA,Reg,Lvl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,1060,0,1060,1,3,1,6,2007,WD,Normal,129900
125,20,RL,NA,8246,Pave,NA,IR1,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,1060,0,1060,1,3,1,6,2010,WD,Normal,154000
126,20,RL,110,14230,Pave,NA,Reg,Lvl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,1600,0,1600,0,3,1,7,2009,WD,Normal,256300
127,20,RL,60,7200,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,900,0,900,0,3,1,5,2010,WD,Normal,134800
128,20,RL,98,11478,Pave,NA,Reg,Lvl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,1704,0,1704,1,3,1,7,2010,WD,Normal,306000
129,20,RL,47,16321,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,1600,0,1600,1,2,1,6,2006,WD,Normal,207500
130,30,RM,60,6324,Pave,NA,IR1,Lvl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,520,0,520,0,1,1,4,2008,WD,Normal,68500
131,70,C (all),50,8500,Pave,Pave,Reg,Lvl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,649,668,1317,0,3,1,6,2008,WD,Normal,40000
132,20,RL,NA,8544,Pave,NA,IR1,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,1228,0,1228,0,3,1,6,2008,WD,Normal,149350
133,20,RL,85,11049,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,1234,0,1234,0,3,1,7,2008,WD,Normal,179900
134,20,RL,70,10552,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,1700,0,1700,0,4,1,6,2010,WD,Normal,165500
135,120,RL,60,7313,Pave,NA,Reg,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,1561,0,1561,1,2,1,6,2007,WD,Normal,277500
136,60,RL,108,13418,Pave,NA,Reg,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,1132,1320,2452,0,4,1,9,2006,WD,Normal,309000
137,20,RL,112,10859,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,1097,0,1097,0,3,1,6,2009,WD,Normal,145000
138,20,RL,74,8532,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,1297,0,1297,0,3,1,5,2009,WD,Normal,153000
139,20,RL,68,7922,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,1057,0,1057,1,3,1,5,2010,WD,Abnorml,109000
140,90,RL,65,6040,Pave,NA,Reg,Lvl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,1152,0,1152,0,2,2,6,2008,WD,AdjLand,82000
141,20,RL,84,8658,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,1324,0,1324,0,3,1,6,2006,WD,Abnorml,160000
142,20,RL,115,16905,Pave,NA,Reg,Lvl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,1328,0,1328,0,2,1,5,2007,WD,Normal,170000
143,85,RL,NA,9180,Pave,NA,IR1,Lvl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,884,0,884,1,2,1,5,2007,WD,Normal,144000
144,20,RL,NA,9200,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,938,0,938,1,3,1,5,2008,WD,Normal,130250
145,20,RL,70,7945,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,1150,0,1150,1,3,1,6,2006,WD,Normal,141000
146,120,RL,61,7658,Pave,NA,Reg,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,1752,0,1752,1,2,1,6,2010,WD,Normal,319900
147,50,RL,48,12822,Pave,NA,IR1,Lvl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,1518,631,2149,1,1,1,6,2009,WD,Abnorml,239686
148,20,FV,84,11096,Pave,NA,Reg,Lvl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,1656,0,1656,0,3,1,7,2007,WD,Normal,249700
149,190,RM,33,4456,Pave,NA,Reg,Lvl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,736,716,1452,0,2,3,8,2009,New,Partial,113000
150,20,RL,66,7742,Pave,NA,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,955,0,955,1,3,1,6,2007,WD,Normal,127000
151,60,RL,NA,13869,Pave,NA,IR2,Lvl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,794,676,1470,0,3,1,6,2007,WD,Normal,177000
152,50,RM,52,6240,Pave,NA,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,816,0,1176,0,3,1,6,2006,WD,Normal,114500
153,90,RM,110,8472,Grvl,NA,IR2,Bnk,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,816,0,816,1,2,1,5,2010,WD,Normal,110000
154,20,RL,68,50271,Pave,NA,IR1,Low,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,1842,0,1842,2,0,1,5,2006,WD,Normal,385000
155,80,RL,60,7134,Pave,NA,Reg,Bnk,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,1360,0,1360,0,3,1,6,2007,WD,Normal,130000
156,20,RL,100,10175,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,1425,0,1425,0,3,1,7,2008,WD,Normal,180500
157,160,FV,24,2645,Pave,Pave,Reg,Lvl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,983,756,1739,1,3,1,7,2009,WD,Abnorml,172500
158,60,RL,89,11645,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,860,860,1720,0,3,1,7,2006,WD,Normal,196500
159,60,RL,66,13682,Pave,NA,IR2,HLS,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,1426,1519,2945,0,3,1,10,2006,New,Partial,438780
160,20,RL,60,7200,Pave,NA,Reg,Bnk,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,780,0,780,0,2,1,4,2008,WD,Normal,124900
161,20,RL,63,13072,Pave,NA,Reg,Lvl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,1158,0,1158,1,3,1,5,2006,New,Partial,158000
162,75,RM,60,7200,Pave,NA,Reg,Lvl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,581,530,1111,0,3,1,6,2007,WD,Normal,101000
163,120,RL,44,6442,Pave,NA,IR1,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,1370,0,1370,0,2,1,6,2007,WD,Normal,202500
